browser,shell,route,theme,breakpoint,width,height,result,contrast,interactiveContrast,overflow_px,scrollable,reason,evidence
chromium,marketing,/customers,bento,mobile-s,375,667,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/mobile-s/bento/marketing-customers.png
chromium,marketing,/customers,bento,tablet,768,1024,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/tablet/bento/marketing-customers.png
chromium,marketing,/customers,brutal,desktop,1280,800,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/desktop/brutal/marketing-customers.png
chromium,marketing,/customers,brutal,mobile-s,375,667,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/mobile-s/brutal/marketing-customers.png
chromium,marketing,/customers,brutal,tablet,768,1024,PASS,17.51,1.2,0,False,,docs/audits/evidence/chromium/tablet/brutal/marketing-customers.png
chromium,marketing,/customers,copilot,desktop,1280,800,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/desktop/copilot/marketing-customers.png
chromium,marketing,/customers,copilot,mobile-s,375,667,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/copilot/marketing-customers.png
chromium,marketing,/customers,copilot,tablet,768,1024,PASS,16.67,6.15,0,False,,docs/audits/evidence/chromium/tablet/copilot/marketing-customers.png
chromium,marketing,/customers,cyber,desktop,1280,800,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/desktop/cyber/marketing-customers.png
chromium,marketing,/customers,cyber,mobile-s,375,667,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/mobile-s/cyber/marketing-customers.png
chromium,marketing,/customers,cyber,tablet,768,1024,PASS,20.67,1,0,False,,docs/audits/evidence/chromium/tablet/cyber/marketing-customers.png
chromium,marketing,/customers,earthy,desktop,1280,800,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/desktop/earthy/marketing-customers.png
chromium,marketing,/customers,earthy,mobile-s,375,667,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/mobile-s/earthy/marketing-customers.png
chromium,marketing,/customers,earthy,tablet,768,1024,PASS,12.17,6.08,0,False,,docs/audits/evidence/chromium/tablet/earthy/marketing-customers.png
chromium,marketing,/customers,glass,desktop,1280,800,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/desktop/glass/marketing-customers.png
chromium,marketing,/customers,glass,mobile-s,375,667,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/mobile-s/glass/marketing-customers.png
chromium,marketing,/customers,glass,tablet,768,1024,PASS,18.56,1,0,False,,docs/audits/evidence/chromium/tablet/glass/marketing-customers.png
chromium,marketing,/customers,kinetic,desktop,1280,800,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/desktop/kinetic/marketing-customers.png
chromium,marketing,/customers,kinetic,mobile-s,375,667,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/mobile-s/kinetic/marketing-customers.png
chromium,marketing,/customers,kinetic,tablet,768,1024,PASS,16.64,4.95,0,False,,docs/audits/evidence/chromium/tablet/kinetic/marketing-customers.png
chromium,marketing,/customers,soft,desktop,1280,800,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/desktop/soft/marketing-customers.png
chromium,marketing,/customers,soft,mobile-s,375,667,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/mobile-s/soft/marketing-customers.png
chromium,marketing,/customers,soft,tablet,768,1024,PASS,10.93,6.15,0,False,,docs/audits/evidence/chromium/tablet/soft/marketing-customers.png
chromium,marketing,/docs,bento,desktop,1280,800,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/desktop/bento/marketing-docs.png
chromium,marketing,/docs,bento,mobile-s,375,667,PASS,14.87,9.74,0,False,,docs/audits/evidence/chromium/mobile-s/bento/marketing-docs.png
